decomp_temp,pyrol_temp,gasifier_temp,air_to_biomass_ratio,gasifier_length,gasifier_diameter,fuel_cell_temp,Acell,fuel_utilization_factor,depleted_fuel_frac,Power,CO2_emitted,H2_produced,current_density,cell_current
453.0,609.0,743.0,0.8,1.16,1.71,936.45,0.32499,0.83,0.2,1361.1857233535181,1402.00689,71.3353452,3730.5381724199888,1212.387600654772
417.0,616.0,714.0,0.8,1.3,0.82,926.19,0.34449,0.88,0.31,1733.0798631257417,1466.84603,72.5446141,4824.615806139618,1662.0318990570372
579.0,651.0,897.0,0.98,2.56,1.06,862.8699999999999,0.35606,0.8,0.3,1528.202820686523,2101.2315,86.5667204,4943.386197658323,1760.1420895382223
592.0,685.0,835.0,0.92,1.7,1.78,970.6600000000001,0.32252,0.98,0.28,1994.6242487158731,2751.11286,95.232063,5980.958651031128,1928.9787841305592
542.0,607.0,742.0,0.72,2.57,1.04,865.19,0.28834,0.89,0.36,1504.298961671683,1373.33069,70.5928741,7463.151055282474,2151.9249752801484
543.0,629.0,811.0,0.72,1.44,1.85,898.1199999999999,0.37256,0.79,0.4,1831.246491421918,1716.32387,78.4341938,4842.049431007245,1803.9539360160595
540.0,691.0,821.0,0.68,1.01,0.72,976.51,0.38117,0.8,0.37,2257.404636064627,2825.57428,95.3907197,5092.130945787385,1940.9675526057777
557.0,652.0,751.0,0.97,1.3,0.99,959.24,0.33874,0.58,0.18,1185.476303932935,2044.98339,83.8799898,2780.672641484685,941.925050576522
593.0,609.0,736.0,0.82,1.84,1.34,950.46,0.3892,0.73,0.21,1762.2489703431374,1397.76046,71.1902108,3830.0725889309506,1490.664251611926
504.0,635.0,781.0,0.94,2.73,1.29,913.24,0.3187,0.59,0.19,1430.0866077706476,1796.20539,80.0200476,4372.85530415906,1393.6289854354925
486.0,658.0,799.0,0.99,1.6,0.6,958.8900000000001,0.31453,0.51,0.11,1595.8647386615867,2158.10286,85.7526042,4707.243685151727,1480.5693562907725
477.0,640.0,726.0,0.63,1.44,0.62,904.5899999999999,0.29199,0.53,0.36,1225.5368512496975,1826.91809,79.8902494,4307.730604917437,1257.8142593298426
469.0,696.0,849.0,0.76,1.05,1.76,930.3699999999999,0.36412,0.88,0.2,2321.2807212393823,2975.30587,98.2210631,6852.786749692124,2495.2367112978964
492.0,661.0,717.0,0.78,2.09,1.65,891.8800000000001,0.31978,0.56,0.27,1365.4105859122835,2223.93515,87.0401076,4442.716566499145,1420.6919036350967
494.0,674.0,796.0,0.86,1.47,1.75,930.1199999999999,0.3947,0.82,0.22,2005.4581671479561,2508.3363,91.6545443,4830.207331328933,1906.4828336755297
